title,year,director,screenwriter,actors,type,summary,runtime,pubtime,country,language,scoreNum,score,star5,star4,star3,star2,star1,smallCommentNum,longCommentNum,posterurl
天空之默 O Silêncio do Céu,2016.0,马可·杜特拉,赛尔基欧·毕兹奥/卢西娅·普恩佐,莱昂纳多·斯巴拉格利亚/卡罗丽娜·迪埃科曼/奇诺·达林/米涅娜·帕斯夸尔/宝拉·库亨/马可·杜特拉,剧情/惊悚,巴西惊悚片，巴西导演马可·杜特拉作品，影片提名第29届东京国际电影节(2016)最佳影片。一名已婚女子在家中遭到强暴后，选择向丈夫隐瞒，却浑然不觉他被他自己深藏的秘密所苦，也不知他心中的复仇计划书...,102分钟,2016-09-22(巴西)," 巴西"," 西班牙语 / 葡萄牙语",171.0,6.1,0.7%,15.2%,73.2%,9.4%,1.4%,58,0.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2368716031.jpg
布基兰,2016.0,安兴伟,迟子建,王宇/刘兴盛/娜仁其木格/乌兰其其格/丁建钧/周娜拉/袁宇龙,剧情,布基兰小镇的伐木工人刘志（丁建均 饰）因偷窃被警察老刘抓获，但好心的老刘（王宇 饰）看到刘志贫困的家不但没逮他还送了米和油，刘志心生愧疚，剁下自己三根手指，老刘找人帮他接了手指又因感染小镇不能医治，想尽快送他去大医院，但小站因为火车提速快车不停，当大家都在为快车不能停而担心的时候，快车在车站却意外停了下来……而整个故事都是在腊八夜的当晚发生。不同人物命运的交织让故事情暖人间。,90分钟,2016-05-06(中国大陆)/2016-04-17(北京电影节)," 中国大陆"," 汉语普通话",186.0,6.1,10.9%,17.6%,42.0%,21.8%,7.6%,76,15.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2332861413.jpg
掉头即死 U Turn,2016.0,Pawan Kumar,Pawan Kumar,Roger Narayan/Shraddha Srinath/Hebbale Krishna/Dileep Raj/Chethan Dsouza/Ram Manjjonaath,悬疑/惊悚/恐怖/犯罪,,120分钟,2016-05-20(印度)," 印度"," 卡纳达语",100.0,6.1,4.8%,20.5%,51.8%,19.3%,3.6%,33,0.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2364545190.jpg
战神阿瑞斯 Arès,2016.0,让-帕特里克·贝内斯,让-帕特里克·贝内斯/本杰明·杜帕斯/阿伦·毛德特,奥拉·拉佩斯/米沙·莱斯科特/蒂埃里·汉西斯/埃莱娜·菲利埃/鲁斯.维嘉.费尔南德茨/伊娃·拉利耶/路易多·德·朗克桑/艾利娜·所罗门/伊冯·马丁/皮埃尔·派瑞尔/艾米丽·加瓦·卡恩/乔·普雷斯蒂亚/戴维·米金特/文森特·帕里斯/菲利普·帕布兰克,剧情/科幻/惊悚,在不远的将来，世界秩序发生了质的改变。充斥着数百万失业人员的法国变成了一个赤贫的国家，人们在反抗和妥协间寻求出路，合法使用兴奋剂不择手段的格斗比赛成为了人们情感宣泄的途径。,80分钟,," 法国"," 法语",1093.0,6.0,5.2%,17.3%,53.1%,19.6%,4.7%,335,6.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2400400667.jpg
犯罪女王 범죄의 여왕,2016.0,李耀燮,李耀燮,朴智英/赵福来/李絮/白秀章/金大铉,喜剧/惊悚,“妈妈说：不是所有的超级英雄都穿斗篷。”,103分钟,2016-08-25(韩国)," 韩国"," 韩语",876.0,6.0,4.7%,17.8%,54.5%,19.2%,3.8%,270,6.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2367886879.jpg
为爱叛逆 Baaghi: A Rebel For Love,2016.0,萨比尔·可汗,Sanjeev Datta,施拉达·卡普尔/Tiger Shroff/Sudheer Babu Posani/Paras Arora,动作/爱情,罗尼是个不遵循规则的野孩子，他父亲让他在自己离世后找当年的战友学习武术。在火车站罗尼遇见了大大咧咧的邻家女孩西雅，武术大师的儿子拉高也看上了在雨中起舞的西雅。一边是拉高用金钱买通了西雅的父亲，一边是罗尼与西雅对彼此作出了承诺。罗尼是否能学武成功？这段三角恋又会有什么样戏剧性的变化？,138分钟,2016-04-29(印度)," 印度"," 印地语",400.0,6.0,9.5%,18.7%,42.6%,22.5%,6.7%,116,3.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2343527017.jpg
狂野 Wild,2016.0,尼科莱特·克雷比茨,尼科莱特·克雷比茨,Lilith Stangenberg/格奥尔格·弗里德里希/希尔克·波丹班德/莎斯琪亚·罗森道尔,剧情,,97分钟,2016-04-14(德国)," 德国"," 德语",297.0,6.0,6.3%,17.0%,52.9%,19.4%,4.4%,107,4.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2325906448.jpg
羽毛 Piuma,2016.0,罗恩·约翰逊,罗恩·约翰逊,Blu Yoshimi/米雪拉·塞尚/Sergio Pierattini/Luigi Fedele/Francesco Colella,剧情,2016年威尼斯电影节主竞赛单元入围作品~青春的时候很有可能混乱，焦躁，犯错，尽管发生的每件事都可能让人抓狂，但永远不要放弃对待人生的希望，勇敢面对自己所犯下的错，所要承担的责任，生活终究会有太阳升起的一天。意大利的青春电影，有意外怀孕，但没有所谓的堕胎，撕逼，哭泣，甩巴掌，有的是对待青春每个人的都会表现的慌乱而崩溃，幼稚和成长，青春多好，生命多好~,98分钟,2016-09-05(威尼斯电影节)," 意大利"," 意大利语",139.0,6.0,3.6%,26.1%,41.4%,25.2%,3.6%,54,1.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2377498169.jpg
播种的旅人 種まく旅人 夢のつぎ樹,2016.0,佐佐部清,安倍照雄,高梨临/斋藤工,剧情/爱情,27岁的彩音在盛产桃的老家赤磐市，培育新品种的桃子。并且相识了从东京来学习的农林水产局的年轻官员木村，两位年轻人也因为各自的梦想走到一起。,106分钟,2016-11(日本)," 日本"," 日语",87.0,6.0,3.0%,13.4%,64.2%,17.9%,1.5%,28,1.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2336001634.jpg
等待一年半 一年半待て,2016.0,西浦正記,ジェームス三木,菊川怜/雛形あきこ/戸次重幸/前川泰之/ふせえり/松澤一之/近江谷太朗/春海四方/渋川清彦/寺田農/翁倩玉/石田ひかり,,,93分钟,2016-04-15(日本)," 日本"," 日语",71.0,6.0,4.8%,16.7%,52.4%,23.8%,2.4%,18,0.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2326915813.jpg
