index,title,year,director,screenwriter,actors,type,summary,runtime,pubtime,country,language,scoreNum,score,star5,star4,star3,star2,star1,smallCommentNum,longCommentNum,posterurl
1307,明日边缘2：生死轮回 Live Die Repeat and Repeat,2020,道格·里曼,马修·罗宾逊/杰斯·巴特沃斯/乔·施雷普内尔/安娜·沃特豪斯/樱坂洋,艾米莉·布朗特/汤姆·克鲁斯,动作/科幻/冒险,《明日边缘》真的在做续集了！,,, 美国, 英语,,,,,,,,204.0,3.0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2535384712.jpg
1308,长安乱,2020,侯咏,韩寒,,,8月17日，真慧影业宣布，已高价从张艾嘉手中购得韩寒小说《长安乱》的电影改编权。,,, 中国大陆, 汉语普通话,,,,,,,,48.0,0.0,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2090689349.jpg
1309,搜查令 The Warrant,2020,Brent Christy,Shea Sizemore,尼尔·麦克唐纳/史蒂夫·R·麦奎因/卡斯帕·凡·迪恩/安娜贝丝·吉什/Gregory Cruz/Greg Perrow/Roxanna Dunlop/Esteban Cueto/Trace Cheramie/Christie McNab/格雷戈里·艾伦·威廉斯/Isaiah Stratton/Daniel Norris/德鲁·沃特斯/布莱恩·杜尔金,西部,After fighting in the Civil War， two Union Army buddies find themselves on opposite sides of the law with the post-war peace at risk.,,2020-03-03(美国), 美国, 英语,,,,,,,,16.0,0.0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2589290562.jpg
1310,三生有幸,2020,刘沛欣/孙楚天/王博伦/伍嘉伟/翟志鹏/胡志强/朱正/郭锴,王伟男/秦子洋/陈俊良/伍嘉伟/翟志鹏/刘玉童/朱正/陈亮,景湛/吕梦琦/马和平/曾曾/常帆/龚茹萱/明水泉/张刚,剧情,或许，人生是一座大山，是一条大河，我们自出生那一刻便注定是要跨过山河，去追寻自己的。而这跨过的山河，便是这部电影所要讲述的故事。影片由《双亲》、《流星流星》、《狐狸爷爷的礼物》、《1728》、《兔子先生》、《萍聚》、《新愿》、《目送》八个故事组成，诠释了生、老、病、死、求不得、放不下、爱别离、怨长久八种人生滋味。感谢你出现在我的人生中，山水一程，能遇到你，一起相拥，共同浮沉，实在是三生有幸。,81分钟,2020-01-13(中国大陆), 中国大陆, 汉语普通话,,,,,,,,25.0,0.0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2580725580.jpg
1311,人在囧途2,2020,,,,喜剧,,,, 中国大陆, 汉语普通话,,,,,,,,8.0,0.0,https://img3.doubanio.com/f/movie/30c6263b6db26d055cbbe73fe653e29014142ea3/pics/movie/movie_default_large.png
1312,绝世低手之夺命玉玺,2020,羊柳/羊柳 Liu Yang,王珞嘉/李佳宜/强宇/何之舟,王珞嘉/李佳宜/强宇/何之舟,,又弱又怂的叶小碟本是贤武门一个无忧无虑的弟子，但为了阻止师妹嫁给炎国太子为侧妃，他毅然踏上寻找前朝神玺之路。一路上神秘凶险，小碟竟然越挨打越能变强，原来他体内住着一个心魔。最终小碟勇敢战胜外敌和心魔，成为强者！,91分钟,2020-05-26(中国大陆), 中国大陆, 汉语普通话,,,,,,,,18.0,2.0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2613044673.jpg
1313,列夫·朗道：帝国 DAU. The Empire,2020,伊利亚·赫尔扎诺夫斯基/ANATOLIY VASILEV,伊利亚·赫尔扎诺夫斯基,,剧情,一家古怪的研究所的创始人抵制了苏联当局对他的生活和工作的侵害，而他的门徒和最亲密的盟友则威胁要篡夺他的项目，而这个项目可能会改变世界。,218分钟,2020-05-04(俄罗斯网络), 俄罗斯, 俄语,,,,,,,,4.0,0.0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2602715970.jpg
1314,江东战神少年周瑜,2020,姜炫亦,耿峥/张琦/胡岳/王国军,李先时/王子宸/梁家仁/孙瑜/贾金龙,剧情/古装,,83分钟,2020-05-27(中国大陆), 中国大陆, 汉语普通话,,,,,,,,26.0,4.0,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2606302557.jpg
1315,干将莫邪之英雄荣耀,2020,张耘海,卓煜茜/冷海铭/李易霖/王丽雅/吕承道/李文俊/何若鹤,卓煜茜/冷海铭/李易霖/王丽雅/吕承道/李文俊/何若鹤,,影片将干将莫邪之间坚贞不渝的爱情、眉间赤与山中客之间的侠义之情进行融合，同时还将铸剑及恢弘的武侠世界进行呈现。,,2020-03-05(中国大陆), 中国大陆, 汉语普通话,,,,,,,,12.0,2.0,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2554558667.jpg
1316,施虐诡计 Sadistic Intentions,2017.0,Eric Pennycoff,Eric Pennycoff,拉瑞·凡斯登/杰瑞米·加德奈/Michael Patrick Nicholson,恐怖,Desperate for success and quickly loosing grip， a pair of metal musicians lure a young woman to a secluded mansion in hopes of inspiring their next album. However， tensions arise between the two band mates as one of them accidentally falls in love with their soon-to-be victim.,82分钟,2020-02-14(美国), 美国, 英语,,,,,,,,16.0,0.0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2449930121.jpg
1317,盗车女孩 Hotwired in Suburbia,2020,杰森·伯格,Paul A. Birkett,泰勒·海涅斯/杰克·曼利/坦娅·克拉克/李康宁/Zoë Belkin/迈克尔·迪克森/Samantha Helt/Eddie G./Stephane Garneau-Monten/Rj Copan,惊悚,A widowed mother must help her teenage daughter escape a life of crime after she becomes embroiled in a dangerous scheme to steal luxury cars for her high school teacher.,,2020-01-30(加拿大), 加拿大, 英语,,,,,,,,26.0,0.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2580892694.jpg
1318,骷髅岛：金刚之血 Skull Island: Blood of the Kong,2020,尼尔·马歇尔,Simon Uttley,,悬疑/奇幻/冒险,金刚死后25年，卡尔·德纳姆之子再次远征骷髅岛去揭开长久以来的迷团。,,, 美国, 英语,,,,,,,,40.0,0.0,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2242407259.jpg
1319,糟糕咨询 Bad Therapy,2020,William Teitler,Nancy Doyne,莎拉·夏希/艾丽西亚·希尔维斯通/海利·乔·奥斯蒙/爱莎·泰勒/金格·贡萨加/麦可拉·沃金丝/罗伯·考德瑞/约翰·罗斯·鲍伊/埃里克·格里芬/汉娜·罗斯·梅/安吉拉·吴/克莱格·罗伯特·扬,喜剧,改编自Nancy Doyne的小说。讲述一对夫妻去做婚姻咨询，咨询师朱迪·斯莫尔虽然看着很可靠，但心怀黑暗和矛盾，她操纵了夫妻俩，导致两人产生矛盾，婚姻濒临破裂。夏希饰演Annabelle，夫妻中的丈夫Bob的会计同事，离异、举止挑逗。,87分钟,2020-04-17(美国), 美国, 英语,,,,,,,,12.0,0.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2594579895.jpg
1320,撼山瑶,2020,马雍,马雍,曾格格/姜永波/辛祚宇/尹恒,剧情,故事发生在中国西南边陲黔江少数民族——十三寨女儿谷的土家族村寨。从小生活在城里的大学生王姍瑶不顾家人及男友的反对和不理解，毅然决定独自一人去西南偏远地区做支教的志愿者。在阿蓬江支教过程中发生的一系列的事情，让王珊瑶犹豫自己当初的选择是否正确，自己到底该何去何从......,92分钟,2020(中国大陆), 中国大陆, 汉语普通话,,,,,,,,44.0,0.0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2568504230.jpg
