'title', 'year', 'director', 'screenwriter', 'actors','type','summary', 'runtime', 'pubtime', 'country', 'language', 'scoreNum', 'score', 'star5', 'star4', 'star3', 'star2', 'star1', 'smallCommentNum', 'longCommentNum', 'posterurl'
随风飘散,2020,旦真旺甲,霍儿登达/泽让闼/沈明笃,更登彭措/索朗旺姆/旺卓措/久西草/才让卓玛,剧情,"
                            ",90分钟,2020(中国大陆), 中国大陆, 藏语,,,,,,,,7,0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2590108253.jpg
看门人 Doorman,2020,北村龙平,Lior Chefetz/Joe Swanson/Greg Williams/Matt McAllester,鲁比·罗丝/让·雷诺,动作/惊悚,"鲁比·罗丝将主演北村龙平([无人生还])执导动作惊悚片[看门人](Doorman，暂译)，故事讲述一名海军陆战队军官在服役期间受到心理创伤，她回国寻找机会治疗。她在纽约的一座历史悠久、迷宫一样的公寓大楼当看门人，发现雇佣兵们有意摧毁一切，以便寻找公寓中的珍宝。影片将于今年4月开拍，目前仍在选角中。
                        ",,, 美国, 英语,,,,,,,,2,0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2616946502.jpg
糖果人 Candyman,2020,尼娅·达科斯塔,乔丹·皮尔/温·罗森菲尔德/尼娅·达科斯塔/克莱夫·巴克/伯纳德·罗斯,叶海亚·阿卜杜勒-迈丁/泰柔娜·派丽丝/科尔曼·多明戈/托尼·托德/内森·斯图尔特-贾瑞特/瑞贝卡·斯宾塞/纳迪娅·西姆斯/马力克·怀特/Cassie Kramer/Brian King/Miriam Moss/Avery Moss/Kyle Kaminsky/Aaron Crippen/Hannah Love Jones,惊悚/恐怖,"影片改编自恐怖小说大师克里夫·巴克的短篇作品，聚焦“糖果人，传说你对镜子说5次他的名字，他就会在倒影中出现，把你杀死”引发的故事。
                        ",,2020-10-16(美国), 美国, 英语,,,,,,,,60,0,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2587947137.jpg
已关注 Followed,2020,Antoine Le,Todd Klick,约翰·萨维奇/布兰卡·布兰科/Kelsey Griswold/Matthew Solomon/Kate Romero/Sam Valentine/Caitlin Grace/India Adams/Karan Sagoo/JoAnna de Castro/Mark Oby Brown/Todd Klick/Tim Drier/Sonia Pizarro/Thaddeaus Ek,悬疑/惊悚/恐怖,"社群媒体网红「DropTheMike」接到一笔金额非常诱人的合作案，他和他的摄影小组亲自到访美国最恶名昭彰的旅社之一。他将带领他的粉丝找寻刺激经历一个前所未有的恐怖夜晚。他们进行有趣的调查挑战，当调查到一个电梯仪式的时候后，却陷入他们个人的邪恶地狱。为了网络上的知名度，你愿意付出多少？
                        ",96分钟,2020-06-19(美国), 美国, 英语,,,,,,,,2,0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2610225514.jpg
录像带 Tape,2020,戴宝拉·卡姆普梅尔,戴宝拉·卡姆普梅尔,伊莎贝拉·弗尔曼/Tarek Bishara/Santos Morales/Allison Winn,剧情/惊悚,"A vengeful actress attempts to capture her prey.
                        ",,2020-06-03(美国), 美国, 英语,,,,,,,,0,0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2590107380.jpg
小说之神 小説の神様 君としか描けない物語,2020,久保茂昭,鎌田哲生/相沢沙呼,佐藤大树/桥本环奈,剧情,"三年前，我在小有名气的文艺刊物上得奖，之后以完全不公开资料的神祕作家身分出道──为什麽不公开资料呢？因为我当时只不过是个国中二年级的小鬼头。国中生成为作家，听起来很了不起，但大众的评价很糟糕，销售量也一直很低迷……当我正苦于找不到创作故事的意义时，「你迷失了道路，虽然写得出漂亮的言词，却欠缺一个好故事。」编辑向我提出了建议，将同龄的知名作家小余绫诗凪介绍给我。和她一起创作小说之后，我发现了她的祕密。她说自己看得见「小说之神」是什麽意思？两人合作的结果会是如何？青春的我们笨拙得看不见未来，只能不断地写下去。
                        ",,2020-05-22(日本), 日本, 日语,,,,,,,,1,0,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2585471329.jpg
模糊的家族 ピンぼけの家族,2020,木村優希,高田亮,南沙良/泉泽祐希/柄本明,,"本作はNHK長野放送局が贈る、写真を題材にしたオリジナルドラマ。舞台は「東洋のスイス」と呼ばれ、フィルムカメラの生産地として一時代を築いた長野県諏訪地域だ。主人公の青年・裕介が、亡き祖母の面影を求め写真を探す過程でさまざまな人と出会い、自分の知らない町の表情に触れていくさまが描かれる。
                                    ",,2020-03-04(日本), 日本, 日语,,,,,,,,1,0,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2589937259.jpg
独狼生存装备 Lone Wolf Survival Kit,2020,Charles Ehrlinger,Charles Ehrlinger,,惊悚,"After witnessing a woman's boyfriend commit murder outside his home, Jonathan, a man who lives so alone that m.77mi.cc he hasn't left his house in two years, is drawn out into the dangerous world to save her.
                        ",,2020-02-12(好莱坞卷轴独立电影节), 美国, 英语,,,,,,,,2,0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2573349371.jpg
格洛丽亚在路上 The Glorias,2020,朱丽·泰莫,朱丽·泰莫/格洛丽亚·斯泰纳姆/Sarah Ruhl,艾丽西亚·维坎德/朱丽安·摩尔/加奈儿·梦奈/蒂莫西·赫顿/贝特·米德勒/露露·威尔逊/洛莱妮·图桑特/赖恩·基拉·阿姆斯特朗/大卫·莫拉蒂/维克多·斯勒扎克/凯莉·戴维斯/伊内徳·格兰汉姆/尼古拉·瓦尔伯特/查尔斯·格林/杰伊·胡古雷/摩西·布林斯·普兰提/迈克尔·洛瑞/玛德赫·杰佛里/安杰拉·雷卢西奥/林恩·阿什/阿里亚当娜·约瑟夫/艾喜丽·D·梅利特/斯凯拉·丹尼/Allie McCulloch/Kimberly Guerrero/Alan Wells/Nick Basta/Kimiko Gelman,剧情/传记/历史,"朱利安·摩尔将主演美国女权先锋格洛丽亚·斯泰纳姆传记片[我的行进人生](My Life On The Road，暂译)。影片根据斯泰纳姆同名自传改编，将聚焦她如何从一名普通记者成为美国女权运动的先驱。影片将由女导演朱丽·泰莫([弗里达])执导，托尼奖提名剧作家莎拉·鲁赫(《新世界》)执笔剧本。
                        ",139分钟,2020-01-26(圣丹斯电影节)/2020-09-25(美国), 美国, 英语,,,,,,,,0,0,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2582624968.jpg
有异议 이의 있습니다,2020,,,刘多仁/李才元,,,,2020-01-23(韩国), 韩国, 韩语,,,,,,,,3,0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2595228686.jpg
Tolo Tolo,2020,Luca Medici,切柯·扎罗内/保罗·维尔齐,切柯·扎罗内/Souleymane Sylla/Manda Touré/Nassor Said Birya/Alexis Michalik/Arianna Scommegna/安东内拉·阿蒂利/Gianni D'Addario/尼古拉·诺切拉/Diletta Acquaviva/Maurizio Bousso/Sara Putignano/芭芭拉·布薛特/Nicola Di Bari,喜剧/家庭,,90分钟,2020-01-01(意大利), 意大利, 意大利语,,,,,,,,3,0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2580025281.jpg
Alienated,2020,岱罗‧安卡,岱罗‧安卡/Erica Jordan,Michael Aaron Carico/Gracie Lacey/Paul Hayes/Daniel Wilkinson/David Croley Broyles/Nomsa L. Mlambo/Karen Rich/Rachel Strutt/Merrick Hanna/安娜·阿尔丁/伊莲恩·帕特罗/Joe Finfera/Erik Donovan/Vince Donvito/Keith Pittman/小阿曼多·杜邦,科幻,"David Bennett, a struggling OCD scientist (Michael Aaron Carico) with father issues has a life-altering encounter with a UFO and winds up falling for Jordan Waters (Gracie Lacey) a quirky and mysterious female artist who, unbeknownst to him, turns out to be an alien who's being hunted by Ray Watts (Paul Hayes), a determined conspiracy theorist.
                        ",,, 美国, 英语,,,,,,,,0,0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2611275626.jpg
逃跑 Run,2020,阿尼什·查甘蒂,阿尼什·查甘蒂/赛弗·奥哈尼安,莎拉·保罗森/基拉·艾伦/帕特·希利/埃里克·阿塔瓦尔/布拉德利·索茨基/奥娜莉·艾姆斯/德里克·詹姆斯·特拉普/Clark Webster/Conan Hodgkinson/Carter Heintz/Steve Pacaud,悬疑/惊悚/恐怖,"该片讲述莎拉饰演的母亲独自抚养着女儿(帕特饰)，当女儿得知了母亲罪恶的秘密，她们的生活开始瓦解。
                        ",,2020(美国), 美国, 英语,,,,,,,,36,0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2586995121.jpg
囧途夺宝之神秘古玉,2020,赵云峰/彭志敏,罗义昌,李彦哲/天津喜哥/赵德龙/李季/霍荣顺/张永恒/王子傲/蒋晴,剧情/喜剧/爱情/悬疑,"为了替父还债的玉器店老板周文峰，答应赌场大哥去偷周氏祠堂内的古玉。阴差阳错之下，投机倒把的商人周刷刷、毛贼星星和毛杆等人也听闻古玉之事，动了邪念。与此同时，守护祠堂的周二爷得知古玉的风声走漏，对祠堂加强看守，几路人马用尽浑身解数试图盗取古玉，与周二爷展开攻防战..... .
                        ",90分钟,2020-08-04(中国大陆), 中国大陆, 汉语普通话,,,,,,,,1,0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2603874104.jpg
浏览 Browse,2020,Mike Testin,Mario Carvalhal,莎拉·拉弗提/克洛伊·布里吉斯/卢卡斯·哈斯,惊悚/恐怖,"A solitary man becomes convinced that someone hacked into all of his devices and that they're being used to manipulate and control him.
                        ",84分钟,2020-07-07(美国), 美国, 英语,,,,,,,,1,0,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2609021608.jpg
灼热 Broil,2020,Edward Drake,Piper Mars/Edward Drake,洛奇林·莫罗/乔纳森·利普尼基/蒂莫西·V·墨菲/艾比·罗斯/艾莉森·巴思/Catherine Lough Haggquist/约翰·卡西尼/Megan Peta Hill/Avery Konrad/詹娜·伯曼/安妮特·赖利/Matthew Nelson-Mahood/科里·拉奇/Phoebe Miu/内尔斯·莱纳森,惊悚/恐怖/奇幻,"
                            ",,2020-07-05(美国), 美国, 英语,,,,,,,,0,0,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2579801598.jpg
剑安天下之灵狐剑,2020,孔钦宁,黄涛,李延桢/胡文珊/严洪智/任春茹/杨景江,奇幻/古装,"夏影联合玲玥、公主诛邪成功以后，明确了自己少主身份，成为灵狐族长继承人；玲玥则接管冷月教，受教规束缚，忘儿女私情，与夏影渐行渐远。公主趁此机会，让皇帝招夏影为驸马，夏影却不忘玲玥，欲带其私奔。不曾想，还未等夏影行动，怪事又起，城中发生连环杀人案，死者皆被吸走阳气，显然为妖为所。而行凶者竟是曾与夏影一同诛邪，惨遭剑魔杀害的欧阳武。对此情况，夏影被迫再与玲玥、公主联合，一同调查，却发现幕后人并非一般妖孽......
                        ",75分钟,2020-06-18(中国大陆), 中国大陆, 汉语普通话,,,,,,,,1,0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2609774204.jpg
少女☆歌剧 Revue Starlight Rondo Rondo Rondo 少女☆歌劇 レヴュースタァライトロンド・ロンド・ロンド,2020,古川知宏/小出卓史,樋口达人/中村彼方,小山百代/三森铃子/富田麻帆/佐藤日向/岩田阳葵/小泉萌香/相羽爱奈/生田辉/伊藤彩沙,动画/音乐/奇幻,"大场奈奈。
                                    ",,2020-05-29(日本), 日本, 日语,,,,,,,,1,0,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2596288188.jpg
夏终年与顾平生,2020,吴星星,吴星星/王祖儿/葛炜亮/胡思睿/胡升梅/王巧萍/王丹妮,吴星星/王祖儿/葛炜亮/胡思睿/胡升梅/王巧萍/王丹妮,,"电影以顾平生和夏终年的爱情为主线，以跆拳道比赛为副线，展现了当代大学生丰富多彩的生活。顾平生在与夏终年的恋爱关系中逐渐变成了最好的自己，而夏终年在顾平生的呵护与陪伴下将自己的心扉打开，认识到了陪伴的意义。同时，夏终年也在跆拳道比赛与对手的竞争中成长起来。
                        ",62分钟,2020-04-10(中国大陆), 中国大陆,,,,,,,,,3,0,https://img3.doubanio.com/f/movie/30c6263b6db26d055cbbe73fe653e29014142ea3/pics/movie/movie_default_large.png
解忧之拯救大作战,2020,张泽原,张泽原/宋晓峰/房程程/邓立超/许江宁/傅博杰/杨添皓,张泽原/宋晓峰/房程程/邓立超/许江宁/傅博杰/杨添皓,,"解忧馆在争议声中被迫闭馆，一晃十几年过去了，极度崇拜解忧馆的成大雷在意外的情况下认识了馆主之女花小溪，却被卷入到了一场利益与权利的阴谋中。最终成大雷明白了解忧的真谛，帮助老馆主完成心愿重建了解忧馆。
                        ",64分钟,2020-04-09(中国大陆), 中国大陆,,,,,,,,,4,0,https://img3.doubanio.com/f/movie/30c6263b6db26d055cbbe73fe653e29014142ea3/pics/movie/movie_default_large.png
疯人院大作战,2020,覃傑,王一/刘冠麟/尚亚妮,王一/刘冠麟/尚亚妮,剧情,"
                            ",90分钟,2020-04-06(中国大陆), 中国大陆, 汉语普通话,,,,,,,,1,0,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2595556238.jpg
大卫·巴特拉：房间里的大象 David Batra: Elefanten i rummet,2020,David Batra/Jon Rudberg,David Batra,David Batra,喜剧,"瑞典喜剧演员大卫·巴特拉的太太是一名近期辞职的政党领导人，他在节目中调侃他的私生活，戏说自己与太太在婚姻中的酸甜苦辣。
                        ",77分钟,2020-04-01(美国), 瑞典, 瑞典语,,,,,,,,0,0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2601383306.jpg
跟踪者的猎物2 Stalker's Prey 2,2020,科林·塞斯,约翰·多伦,Sarah Wisser/Houston Stevenson/Julia Blanchard/Jackson Dockery/Felicity Mason/Sarah Minor/Brayson Goss/Jake Casper/Michelle Patnode/Nikola Dickersin/Bill Salvatore/David Davino/Mar Jennings/Tomas Condon/Samara Deraleau,惊悚,"
                            ",,2020-03-21(美国), 美国, 英语,,,,,,,,2,0,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2594502829.jpg
恶魔岛惊魂 The Haunting of Alcatraz,2020,Steve Lawson,Steve Lawson,Helen Crevel/博·福勒/Jonathan Hansler/Tom Hendryk/Marcus Langford/Chris Lines/Mark Topping,恐怖,"恶魔岛。1937. 一名在夜班工作的年轻狱警经历了一连串的令人心寒的骚乱，最终导致一名囚犯离奇死亡，这令人怀疑的不仅是超自然的存在，而且对臭名昭著的监狱惩罚也有着致命的腐败。根据可怕的真实事件，在世界上最著名的监狱，恶魔岛惊魂是一个可怕的故事超自然和现实世界的恐怖。
                        ",,2020-03-09(美国), 美国, 英语,,,,,,,,2,0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2590455814.jpg
Recopa Sudamericana 2020 2nd round,2020,,,,运动,,98分钟,2020-02-26(巴西), 巴西, 西班牙语,,,,,,,,1,0,https://img3.doubanio.com/f/movie/30c6263b6db26d055cbbe73fe653e29014142ea3/pics/movie/movie_default_large.png
跨越边界 Flukten over grensen,2020,约翰妮·赫尔格兰德,马贾·隆德,Henrik Siger Woldene/Samson Steine/Bianca Ghilardi-Hellsten/Anna Sofie Skarholt/Bo Lindquist-Ellingsen/Morten Svartveit/Kari Simonsen/Julius Robin Weigel/Luke Neite/Silje Breivik/Thea Borring Lande/Frode Winther/Trond Høvik/Svein Roger Karlsen,儿童/战争,"1942年12月，犹太儿童莎拉（Sarah）和丹尼尔（Daniel）将被遣送出国，他们一直藏在小朋友奥托（Otto）和格尔达（Gerda）家人的地下室，但还是被德国人发现了。两家父母都被德国人逮捕，只有四个孩子从森林中得以逃脱。他们的目标是前往瑞典，在路上他们认识了一个好心人，但是他们真的可以一直信任他吗？
                        ",96分钟,2020-02-14(挪威), 挪威, 挪威语,,,,,,,,1,0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2578182656.jpg
车速过快 Spree,2020,尤金·科特亚伦科,尤金·科特亚伦科/Gene McHugh,乔·基瑞/萨西尔·扎玛塔/大卫·阿奎特/凯尔·穆尼/米莎·巴顿/拉拉·肯特/约翰·德卢卡/杰萨琳·吉尔西格/肖恩·艾弗里/Frankie Grande/Joshua Ovalle/Reatha Grey/Caroline Hebert/Sunny Kim/Linas Phillips/Randy Vasquez,喜剧/惊悚,"影片由尤金·科特亚伦科执导，《怪奇物语》演员乔·基瑞主演，他在片中扮演的是一个为了寻求刺激，在网上直播虐待乘客的网约车司机。
                        ",93分钟,2020-01-24(圣丹斯电影节)/2020-08-14(美国), 美国, 英语,,,,,,,,4,0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2616766494.jpg
我只梦见你 Je ne rêve que de vous,2020,劳伦特·海纳曼,艾尔莎·泽贝斯坦/伊波利特·吉拉尔多/艾米莉·德奎恩/玛蒂尔达·梅/菲利普·托雷顿/格雷戈里·德朗杰尔/托马斯·夏布洛尔,艾尔莎·泽贝斯坦/伊波利特·吉拉尔多/艾米莉·德奎恩/玛蒂尔达·梅/菲利普·托雷顿/格雷戈里·德朗杰尔/托马斯·夏布洛尔,剧情/历史,"1940年，贾诺·赖兴巴赫抛弃了丈夫和孩子，将自己的命运与那位自青春期以来一直深爱着的悲剧性男人莱昂·布鲁姆联系在一起。她将穿越欧洲，牺牲自己的自由与被关押在布痕瓦尔德集中营中所爱的男人结婚，与他一起。最终她却侥幸得在这场磨难中幸免。
                        ",103分钟,2020-01-15(法国), 法国, 法语,,,,,,,,3,0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2575360881.jpg
認知症の第一人者が認知症になった,2020,,,,,"自ら認知症であるという重い事実を公表した医師がいる。認知症医療の第一人者、長谷川和夫さん（９０）。「長谷川式」と呼ばれる早期診断の検査指標を開発、「痴呆」という呼称を「認知症」に変えることを提唱するなど、人生を認知症医療に捧げてきた。認知症専門医が認知症になったという現実をどう受け入れ、何に気づくのか。誰もが認知症になりうる時代。長谷川さんの姿を通して認知症を生き抜くための手がかりや希望をつむぐ。
                        ",,2020-01-11(日本), 日本,,,,,,,,,2,0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2580978880.jpg
顺其自然的日子 どうにかなる日々,2020,佐藤卓哉,佐藤卓哉/井出安轨/富田赖子/志村贵子,花泽香菜/小松未可子/樱井孝宏/山下诚一郎/木户衣吹/石原夏织/菲鲁兹·蓝/早见沙织/岛崎信长/田村睦心/天崎滉平/白石凉子,剧情/动画,"想起某人的日常，有时是甜蜜的，有时是痛苦的。那样只能成为现实的日子，总有一天。原恋人的婚礼，男校的老师和学生，迎来心和身体的变化的青春期的青梅竹马。无论对方是谁，无论以什么形式，所有的恋爱和生活方式都有同等的价值。然后，笨拙地想着某个人的日子，总有一天会成为可爱的回忆。温柔守护这样的“谁的恋爱”，温暖描绘的短篇故事集。
                        ",,, 日本, 日语,,,,,,,,38,0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2578258364.jpg
公主代理人续篇：第一章 プリンセス・プリンシパル 劇場版1,2020,橘正纪,木村畅,古贺葵/关根明良/大地叶/影山灯/古木望,剧情/动作/动画,"舞台是19世纪末。阿尔比恩王国由于共和革命而分裂。被巨大的墙壁分断的首都伦敦，东侧由王国、西侧由共和国统治，成为各国间谍活跃的暗影战争最前线。
                                    ",,2020(日本), 日本, 日语,,,,,,,,6,0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2531115690.jpg
必杀仕事人2020 必殺仕事人2020,2020,石原兴,西田征史,东山纪之/松冈昌宏/知念侑李/杉本哲太/杉野遥亮/森川葵/和久井映见/松尾谕/生濑胜久/木村绿子/中越典子/大东骏介/骏河太郎/市村正亲,,"本作は、渡辺小五郎ら“仕事人”たちが世にはびこる悪を成敗する「必殺」シリーズの最新作。彼らが、息子をかたって親から多額のお金を引き出す卑劣な犯罪に立ち向かうさまが描かれる。
                        ",,2020-06-28(日本), 日本, 日语,,,,,,,,1,0,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2606580267.jpg
燕 Yan,2020,今村圭佑,山中崇/一青窈/田中要次/长野里美/平田满,山中崇/一青窈/田中要次/长野里美/平田满,剧情,"中日混血棄子Tsubame，飄洋過海來到這個母親說很美的地方，尋回自我認同的起點，體悟到失去的反而是收穫。Tsubame 五歲起和母親分隔兩地，直到成年後仍無法釋懷為何別離，即使是溫柔的繼母也不甚了解他的心思。在父親的懇求下，他前往母親的故鄉台灣和失聯23 年的哥哥見面。在和哥哥的孩子相處過程中，他幾次回憶起童年時與母親相處的片刻，漸漸理解自己其實從未被拋下⋯⋯
                                    ",86分钟,2020-06-05(日本), 日本, 日语,,,,,,,,1,0,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2580375088.jpg
锦衣卫之暮光之下,2020,哈全贵,王珺/胡冬晴/方帅/王家军/史如梦,王珺/胡冬晴/方帅/王家军/史如梦,古装,"弘治年间朝纲政乱，大太监刘瑾掌权操控锦衣卫，排除异己逐杀正直官员，玄明玄月虽为同父异母的兄弟，但为了权利哥哥玄月对弟弟玄明大大出手。正直善良的玄明成为刘瑾实现野心的绊脚石，刘瑾想借助兄弟不和之事将玄明除掉，一场阴谋和手足残杀即将展开。
                        ",61分钟,2020-05-13(中国大陆), 中国大陆, 汉语普通话,,,,,,,,3,0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2613315634.jpg
地标 Sthalpuran,2020,阿克什·英迪卡尔,阿克什·英迪卡尔/Tejashri Kamble,Neel Deshmukh/Anushree Wani/Sonia Mahale/Rekha Thakur/Shashank Shende/Shrikant Patil/Medha Patil/Gajanan Zarmekar/Deepa Moghe,剧情/家庭/儿童,"The move from the city to the country, the disappearance of the father. Nobody explained to Dhigu why this is so. Throughout the summer, the observant boy takes note of his surroundings. Together with Dhigu, the film explores his new place of life in the Indian province, with images of vastness and abundance that become deeply etched into the memory.
                        ",86分钟,2020-02-26(柏林电影节), 印度, 马拉地语,,,,,,,,0,0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2587171771.jpg
阴阳眼 Đôi mắt âm dương,2020,日中,秋庄/宝清/阮国长,秋庄/宝清/阮国长,恐怖,,,2020-01-25(越南), 越南,,,,,,,,,1,0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2589505470.jpg
棉花糖和云朵妈妈之福鼠送吉,2020,张帆/洪云,张芷维/孙娅楠,陈苏/郏捷/耿晨晨/唐小喜/梁晓强/马语非/杨莹/郑小璞/张碧玉/巩大方/苗德雨/赵欣/陈昭,动画,"央视少儿频道、央视动漫集团2020年鼠年新春贺岁动画片之《棉花糖和云朵妈妈之福鼠送吉》1月23日19：30央视少儿频道《过年啦》播出
                        ",47分钟,2020-01-23(中国大陆), 中国大陆, 汉语普通话,,,,,,,,1,0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2587015833.jpg
御龙江湖,2020,唐亚杰,高振宇/熊小梨,高振宇/熊小梨,动作/奇幻,"大魔头不死罗刹修炼邪恶三生功法，为祸世间。逍遥一派倾其全派之力将不死罗刹封印在石棺中，并转移到至阳至刚之地——太平镇，派人世代看守。不死罗刹发下毒誓，等自己冲破封印之后一定要报仇雪恨。五十年后第三代守护接班人顾长青，平日里吊儿郎当，梦想着能走出小镇去闯荡成为一名大侠。顾长青为了接近心爱的姑娘花木深，他用迷药将爷爷迷倒后，顾假扮爷爷去为花木深治病。这导致爷爷错过了在封印之中注入功法的时机，此时不死罗刹趁机冲破封印逃之夭夭，太平镇即将掀起一场腥风血雨……
                        ",61分钟,2020-01-23(中国大陆), 中国大陆, 汉语普通话,,,,,,,,1,0,https://img3.doubanio.com/f/movie/30c6263b6db26d055cbbe73fe653e29014142ea3/pics/movie/movie_default_large.png
再见吧！少年,2020,林子平,禹岚馨 /王安齐/樊菁/蒋丽华,刘敏涛/荣梓杉/谭凯/顾语涵/斯外戈,剧情,"影片根据真人真事改编，讲述了少年王新阳的生活因突患白血病而彻底改变，面对未知的明天，新阳依然乐观坚强，努力实现青春梦想的故事。
                        ",120分钟,2020(中国大陆), 中国大陆, 汉语普通话,,,,,,,,10,1,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2613456918.jpg
Paranoia Tapes 06:06:06,2020,Jack Saint Hunter,Jack Saint Hunter,Aaron B. Peterson/Scott Clark,,"Henry is good, Henry is bad, but when it comes to footage that he finds, the end result is horrendous. Where does he find these tapes? Why does he keep making them? Why does he keep uploading them? Will the right authorities ever figure out what is going on? These questions will be asked because once you go LIVE, the followers will THRIVE.
                        ",85分钟,2020(美国), 美国, 英语,,,,,,,,0,0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2604045735.jpg
新冠病毒 Coronavirus,2020,Blake Ridder,Blake Ridder,Blake Ridder,剧情/惊悚,"When Steven was hit with Coronavirus symptoms, he decided to document his conditions while in Wuhan, China, at the center of the outbreak.
                        ",8分钟,, 英国, 英语,,,,,,,,1,0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2595438861.jpg
碧空之下 ターコイズの空の下で,2020,KENTARO,柳乐优弥/磨赤儿,柳乐优弥/磨赤儿,,"物語の中心人物となるのは、大企業の経営者を祖父に持つタケシ（柳楽）と、競走馬を盗んだ罪で逮捕されたモンゴル人の男アムラ（バルジンヤム）。果てしなく広がるモンゴルの空の下、言葉も通じず、価値観も異なる2人のユーモラスな旅が描き出されていく。
                        ",,2020(日本), 日本 / 法国, 日语 / 法语,,,,,,,,2,0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2575787672.jpg
源泉 The Fountainhead,2020,扎克·施奈德,安·兰德,,剧情,"
                            ",,, 美国, 英语,,,,,,,,38,0,https://img3.doubanio.com/f/movie/30c6263b6db26d055cbbe73fe653e29014142ea3/pics/movie/movie_default_large.png
我啊，走自己的路 おらおらでひとりいぐも,2020,冲田修一,冲田修一/若竹千佐子,田中裕子/苍井优/东出昌大/滨田岳/青木崇高/宫藤官九郎,剧情,"《横道世之介》《南极料理人》导演冲田修一新片将改编63岁出道的日本女作家若竹千佐子的“玄冬小说”《我啊，走自己的路》(おらおらでひとりいぐも)，以75岁独居女性桃子的生活为故事。老戏骨田中裕子饰演主人公桃子，苍井优饰演20-34岁的桃子。影片计划于年内上映。
                        ",,2020-11-06(日本), 日本, 日语,,,,,,,,19,0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2610179394.jpg
有钱特烦恼,2020,王海波,时晓飞/刘宇菲/孙一理/常越/谢毅,时晓飞/刘宇菲/孙一理/常越/谢毅,喜剧,"《有钱特烦恼》的男主人公是一个负债累累的人，却还要回村里炫富，并忽悠其叔叔婶婶到城市里拍电影挣钱。为了取得叔叔的信任，他与债主合伙成立假的剧组，没想到被一个骗子团伙盯上，这个骗子团伙假装应聘来到剧组骗男主人公。就这样，一个假剧组、一个骗子团伙、一对梦想赚大钱的夫妇一起上演了一场令人哭笑不得的闹剧。
                        ",,2020-08-14(中国大陆), 中国大陆, 汉语普通话,,,,,,,,1,0,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2530521849.jpg
藕断丝连 Endless,2020,斯科特·斯皮尔,Andre Case/Oneil Sharma,法米克·詹森/亚历山德拉·希普/伊安·崔西/尼古拉斯·汉密尔顿/帕特里克·吉尔莫/德龙·霍顿/凯瑟琳·拉夫·哈格奎斯特/艾伦·坡尔/艾迪·拉莫斯/BJ·哈里森/芭芭拉·梅尔/Alexa Barajas/佐伊·贝尔金/Melanie Walden/Bradley James,剧情/爱情/奇幻,"“小暴风女”亚历山德拉·希普、尼古拉斯·汉密尔顿([小丑回魂])商谈加盟斯科特·斯皮尔执导新片[藕断丝连](Endless，暂译)，故事讲述克里斯(汉密尔顿饰)、赖丽(希普饰)是对热恋的情侣，然而一次致命的事故迫使两人阴阳两隔。
                        ",,2020-05-07(俄罗斯)/2020-08-14(美国), 美国, 英语,,,,,,,,2,0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2613707784.jpg
