'title', 'year', 'director', 'screenwriter', 'actors','type','summary', 'runtime', 'pubtime', 'country', 'language', 'scoreNum', 'score', 'star5', 'star4', 'star3', 'star2', 'star1', 'smallCommentNum', 'longCommentNum', 'posterurl'
Rory's Story,2020,,亚瑟·达维尔/凯伦·吉兰,亚瑟·达维尔/凯伦·吉兰,,"It's 1946. Eight years after he was sent back in time by the Weeping Angels, Rory Williams is dictating his biography...
                        ",2分钟,2020-04-12(英国), 英国, 英语,,,,,,,,2,0,https://img3.doubanio.com/f/movie/30c6263b6db26d055cbbe73fe653e29014142ea3/pics/movie/movie_default_large.png
ヴァンパイア・フレンズ ～吸血少女の孤独～,2020,井坂朋泰,朝仓琴美/武藤つぐみ/みおり舞,朝仓琴美/武藤つぐみ/みおり舞,剧情/惊悚,"謎めいた洋館を舞台に吸血鬼との初恋を描いたエロスドラマ。サマースクールで高原の寄宿舎に滞在している女子校生・明日香は、少し離れた場所にあった洋館に迷い込む。明日香は洋館で暮らす美少女・はるかと出会い、次第に心を通わせていくが…。
                        ",78分钟,2020-04-03(日本), 日本, 日语,,,,,,,,3,0,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2602529427.jpg
酒剑,2019,李小名/李乐,胡逵,谢苗/诺瑶/敬佩/何华超/张德晖/李圣雄,动作/奇幻/古装,"上古洪荒，仙人修封魔塔并以“无尘神剑”封印魔界。数百年后无尘剑离奇失踪，守护者剑圣（何华超饰演）不愿牺牲自身修为，竟抽离初生的“纯阳之子”忘生的一魂一魄用以封印魔界，濒死的忘生被剑圣师弟酒仙（张德晖饰演）所救。二十四年后，忘生（谢苗饰演）和从小相依为命的少女一一（敬佩饰演），偶遇蜀山女剑侠风若离（诺瑶饰演）三人结伴踏上险恶的除魔之路。与善良的魔村村民之间的纠葛，令忘生感悟到魔物也有善恶之分。
                        ",90分钟,2020-08-21(中国大陆), 中国大陆, 汉语普通话,,,,,,,,9,0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2592668446.jpg
オープン・マリッジ 新しい夫婦生活,2020,石川二郎,石川二郎,二宮ひかり/千葉誠樹/京野美麗/武居翼,剧情,"愛する夫のため、ほかの男に抱かれる新しい夫婦の形を描いたエロスドラマ第2弾。社内結婚をし、専業主婦になった若妻の安奈。夫の慎吾は若い安奈を性的に満足させてあげられないのではないかと部下に相談し…。二宮ひかり主演。
                        ",77分钟,2020-04-02(日本), 日本, 日语,,,,,,,,4,0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2602587865.jpg
Unveiled,2020,Sofia Bajwa,,,,"A short documentary told from the perspective of two teenage Muslim girls who seek to shatter the false reputation and connotations carried by the hijab in Western society.
                        ",5分钟（西南偏南电影节）,2020-03(美国), 美国, 英语,,,,,,,,2,0,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2597590548.jpg
变体 Variant,2020,Joe Meredith,Joe Meredith,Cidney Meredith/Toby Johansen/Samuel Barnette/Derek Hobbs/Joel Barnette,恐怖,"距离天琴湾爆发已经过去一年多了，现在造成这场灾难的外星人的变种
                        ",,2020-03(美国), 美国, 英语,,,,,,,,1,0,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2577581978.jpg
天龙号醒来之返航迷途 天龙号醒来,2017,西门,曲吉让步/赵伲僮/吕晶/许小行,曲吉让步/赵伲僮/吕晶/许小行,剧情/科幻,"
                            ",74分钟,2020-03-23(中国大陆), 中国大陆, 汉语普通话,,,,,,,,2,0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2416605654.jpg
韩国城谋杀案 Murder Death Koreatown,2020,,,,悬疑/恐怖/犯罪,"After his neighbor's real life murder, an unemployed man goes down the rabbit hole investigating what he believes to be a conspiracy.
                        ",80分钟,2020-03-21(美国), 美国, 英语,,,,,,,,1,0,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2615097638.jpg
动物之森大电影 Animal Crossing: The Movie,2020,志村锭儿,志村锭儿/Carley Bonchonsky/Cody Burns/Matthew Salinas/Meg Kaylee/Erica Gregory/Holly Hart/Emiliano Rodolfo Rosales-Birou/Mike Rosenberg/Andrew Acosta/Amy Jones/Alexa Danielle Sanchez/Sarah Serrano/William Brush/Kayla Garcia/Josh Herstein/Sam Britz/Taylor Raposa,志村锭儿/Carley Bonchonsky/Cody Burns/Matthew Salinas/Meg Kaylee/Erica Gregory/Holly Hart/Emiliano Rodolfo Rosales-Birou/Mike Rosenberg/Andrew Acosta/Amy Jones/Alexa Danielle Sanchez/Sarah Serrano/William Brush/Kayla Garcia/Josh Herstein/Sam Britz/Taylor Raposa,动画,"An 11-year-old girl named Ai moves to a new town called Animal Village, where she will have to learn a new way of life and make new friends. She discovers the meaning of friendship through her adventures.
                        ",87分钟,2020-03-13(美国), 美国, 英语,,,,,,,,0,0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2606914762.jpg
z街区 Block Z,2020,Mikhail Red,James Jordan/Julia Barretto/Ian Veneracion/Dimples Romana,James Jordan/Julia Barretto/Ian Veneracion/Dimples Romana,动作/惊悚/恐怖,"At a quarantined university, a disparate group of students must band together if they are going to survive during a deadly viral infection outbreak.
                        ",101分钟,2020-03-13(美国), 菲律宾, 菲律宾语,,,,,,,,2,0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2590451265.jpg
